# This file was generated by the deal.II library.
# Date =  2015/8/18
# Time =  20:23:16
#
# For a description of the GNUPLOT format see the GNUPLOT manual.
#
# <x> <y> <velocity> <velocity> <pressure> 
0 0 0 0 1.69474e+08 
4259.56 0 -1.80612e-14 0 1.69457e+08 

2.61384e-13 4400.8 0 3.73551e-14 1.69457e+08 
4148.16 4360.76 -1.75828e-14 3.70126e-14 1.69441e+08 


4259.56 0 -1.80612e-14 0 1.69457e+08 
8518.6 0 -3.61476e-14 0 1.6941e+08 

4148.16 4360.76 -1.75828e-14 3.70126e-14 1.69441e+08 
8477.73 4456.48 -3.59658e-14 3.78175e-14 1.69393e+08 


2.61384e-13 4400.8 0 3.73551e-14 1.69457e+08 
4148.16 4360.76 -1.75828e-14 3.70126e-14 1.69441e+08 

5.22767e-13 8801.38 0 7.4696e-14 1.69406e+08 
4121.41 8665.5 -1.74632e-14 7.35432e-14 1.69392e+08 


4148.16 4360.76 -1.75828e-14 3.70126e-14 1.69441e+08 
8477.73 4456.48 -3.59658e-14 3.78175e-14 1.69393e+08 

4121.41 8665.5 -1.74632e-14 7.35432e-14 1.69392e+08 
8295.84 8721.84 -3.51761e-14 7.40113e-14 1.69346e+08 


8518.6 0 -3.61476e-14 0 1.6941e+08 
12777.6 0 -5.42176e-14 0 1.69331e+08 

8477.73 4456.48 -3.59658e-14 3.78175e-14 1.69393e+08 
12861.2 4507.49 -5.45633e-14 3.82424e-14 1.69312e+08 


12777.6 0 -5.42176e-14 0 1.69331e+08 
17036.6 0 -7.22804e-14 0 1.69221e+08 

12861.2 4507.49 -5.45633e-14 3.82424e-14 1.69312e+08 
17173 4514.28 -7.28462e-14 3.8289e-14 1.692e+08 


8477.73 4456.48 -3.59658e-14 3.78175e-14 1.69393e+08 
12861.2 4507.49 -5.45633e-14 3.82424e-14 1.69312e+08 

8295.84 8721.84 -3.51761e-14 7.40113e-14 1.69346e+08 
12617 8843.77 -5.35001e-14 7.50256e-14 1.69266e+08 


12861.2 4507.49 -5.45633e-14 3.82424e-14 1.69312e+08 
17173 4514.28 -7.28462e-14 3.8289e-14 1.692e+08 

12617 8843.77 -5.35001e-14 7.50256e-14 1.69266e+08 
16955 8913.74 -7.18852e-14 7.55942e-14 1.69154e+08 


5.22767e-13 8801.38 0 7.4696e-14 1.69406e+08 
4121.41 8665.5 -1.74632e-14 7.35432e-14 1.69392e+08 

7.8415e-13 13201.9 0 1.12011e-13 1.69322e+08 
4154.03 13100.6 -1.75882e-14 1.11148e-13 1.69308e+08 


4121.41 8665.5 -1.74632e-14 7.35432e-14 1.69392e+08 
8295.84 8721.84 -3.51761e-14 7.40113e-14 1.69346e+08 

4154.03 13100.6 -1.75882e-14 1.11148e-13 1.69308e+08 
8274.44 13048.4 -3.50591e-14 1.10691e-13 1.69264e+08 


7.8415e-13 13201.9 0 1.12011e-13 1.69322e+08 
4154.03 13100.6 -1.75882e-14 1.11148e-13 1.69308e+08 

1.04554e-12 17602.3 0 1.49288e-13 1.69203e+08 
4167.81 17524.7 -1.76272e-14 1.48623e-13 1.69189e+08 


4154.03 13100.6 -1.75882e-14 1.11148e-13 1.69308e+08 
8274.44 13048.4 -3.50591e-14 1.10691e-13 1.69264e+08 

4167.81 17524.7 -1.76272e-14 1.48623e-13 1.69189e+08 
8242.75 17330.8 -3.48873e-14 1.4697e-13 1.69151e+08 


8295.84 8721.84 -3.51761e-14 7.40113e-14 1.69346e+08 
12617 8843.77 -5.35001e-14 7.50256e-14 1.69266e+08 

8274.44 13048.4 -3.50591e-14 1.10691e-13 1.69264e+08 
12443.6 13082.8 -5.27222e-14 1.10961e-13 1.69189e+08 


12617 8843.77 -5.35001e-14 7.50256e-14 1.69266e+08 
16955 8913.74 -7.18852e-14 7.55942e-14 1.69154e+08 

12443.6 13082.8 -5.27222e-14 1.10961e-13 1.69189e+08 
16724.6 13188.6 -7.08516e-14 1.11823e-13 1.69079e+08 


8274.44 13048.4 -3.50591e-14 1.10691e-13 1.69264e+08 
12443.6 13082.8 -5.27222e-14 1.10961e-13 1.69189e+08 

8242.75 17330.8 -3.48873e-14 1.4697e-13 1.69151e+08 
12380.8 17354.9 -5.23982e-14 1.47143e-13 1.69077e+08 


12443.6 13082.8 -5.27222e-14 1.10961e-13 1.69189e+08 
16724.6 13188.6 -7.08516e-14 1.11823e-13 1.69079e+08 

12380.8 17354.9 -5.23982e-14 1.47143e-13 1.69077e+08 
16591.8 17444.2 -7.02123e-14 1.47852e-13 1.68968e+08 


17036.6 0 -7.22804e-14 0 1.69221e+08 
21295.5 0 -9.03326e-14 0 1.6908e+08 

17173 4514.28 -7.28462e-14 3.8289e-14 1.692e+08 
21482.5 4518.01 -9.11092e-14 3.83056e-14 1.69055e+08 


21295.5 0 -9.03326e-14 0 1.6908e+08 
25554.2 0 -1.08372e-13 0 1.68908e+08 

21482.5 4518.01 -9.11092e-14 3.83056e-14 1.69055e+08 
25794.8 4521.18 -1.09374e-13 3.83144e-14 1.68879e+08 


17173 4514.28 -7.28462e-14 3.8289e-14 1.692e+08 
21482.5 4518.01 -9.11092e-14 3.83056e-14 1.69055e+08 

16955 8913.74 -7.18852e-14 7.55942e-14 1.69154e+08 
21316.4 8965.93 -9.03587e-14 7.60061e-14 1.69009e+08 


21482.5 4518.01 -9.11092e-14 3.83056e-14 1.69055e+08 
25794.8 4521.18 -1.09374e-13 3.83144e-14 1.68879e+08 

21316.4 8965.93 -9.03587e-14 7.60061e-14 1.69009e+08 
25721.7 9016.4 -1.09007e-13 7.63945e-14 1.68829e+08 


25554.2 0 -1.08372e-13 0 1.68908e+08 
29812.7 0 -1.26397e-13 0 1.68704e+08 

25794.8 4521.18 -1.09374e-13 3.83144e-14 1.68879e+08 
30041 4513.61 -1.27341e-13 3.82289e-14 1.68674e+08 


29812.7 0 -1.26397e-13 0 1.68704e+08 
34071.1 0 -1.44404e-13 0 1.68468e+08 

30041 4513.61 -1.27341e-13 3.82289e-14 1.68674e+08 
34250.4 4503.21 -1.45137e-13 3.8116e-14 1.6844e+08 


25794.8 4521.18 -1.09374e-13 3.83144e-14 1.68879e+08 
30041 4513.61 -1.27341e-13 3.82289e-14 1.68674e+08 

25721.7 9016.4 -1.09007e-13 7.63945e-14 1.68829e+08 
30060.5 9032.75 -1.27358e-13 7.6488e-14 1.6862e+08 


30041 4513.61 -1.27341e-13 3.82289e-14 1.68674e+08 
34250.4 4503.21 -1.45137e-13 3.8116e-14 1.6844e+08 

30060.5 9032.75 -1.27358e-13 7.6488e-14 1.6862e+08 
34344.4 9030.82 -1.45458e-13 7.64208e-14 1.68381e+08 


16955 8913.74 -7.18852e-14 7.55942e-14 1.69154e+08 
21316.4 8965.93 -9.03587e-14 7.60061e-14 1.69009e+08 

16724.6 13188.6 -7.08516e-14 1.11823e-13 1.69079e+08 
21090.3 13305.8 -8.93292e-14 1.12769e-13 1.68933e+08 


21316.4 8965.93 -9.03587e-14 7.60061e-14 1.69009e+08 
25721.7 9016.4 -1.09007e-13 7.63945e-14 1.68829e+08 

21090.3 13305.8 -8.93292e-14 1.12769e-13 1.68933e+08 
25432.3 13372 -1.07693e-13 1.13275e-13 1.68757e+08 


16724.6 13188.6 -7.08516e-14 1.11823e-13 1.69079e+08 
21090.3 13305.8 -8.93292e-14 1.12769e-13 1.68933e+08 

16591.8 17444.2 -7.02123e-14 1.47852e-13 1.68968e+08 
20844.2 17533.2 -8.8188e-14 1.48549e-13 1.68828e+08 


21090.3 13305.8 -8.93292e-14 1.12769e-13 1.68933e+08 
25432.3 13372 -1.07693e-13 1.13275e-13 1.68757e+08 

20844.2 17533.2 -8.8188e-14 1.48549e-13 1.68828e+08 
25234.4 17689.7 -1.06736e-13 1.49796e-13 1.68648e+08 


25721.7 9016.4 -1.09007e-13 7.63945e-14 1.68829e+08 
30060.5 9032.75 -1.27358e-13 7.6488e-14 1.6862e+08 

25432.3 13372 -1.07693e-13 1.13275e-13 1.68757e+08 
29787.1 13425.4 -1.26095e-13 1.1366e-13 1.68548e+08 


30060.5 9032.75 -1.27358e-13 7.6488e-14 1.6862e+08 
34344.4 9030.82 -1.45458e-13 7.64208e-14 1.68381e+08 

29787.1 13425.4 -1.26095e-13 1.1366e-13 1.68548e+08 
34153.5 13470.4 -1.44528e-13 1.13963e-13 1.68305e+08 


25432.3 13372 -1.07693e-13 1.13275e-13 1.68757e+08 
29787.1 13425.4 -1.26095e-13 1.1366e-13 1.68548e+08 

25234.4 17689.7 -1.06736e-13 1.49796e-13 1.68648e+08 
29544.7 17754 -1.24928e-13 1.50255e-13 1.68442e+08 


29787.1 13425.4 -1.26095e-13 1.1366e-13 1.68548e+08 
34153.5 13470.4 -1.44528e-13 1.13963e-13 1.68305e+08 

29544.7 17754 -1.24928e-13 1.50255e-13 1.68442e+08 
33909.7 17831.5 -1.43335e-13 1.50808e-13 1.682e+08 


1.04554e-12 17602.3 0 1.49288e-13 1.69203e+08 
4167.81 17524.7 -1.76272e-14 1.48623e-13 1.69189e+08 

1.30692e-12 22002.4 0 1.86518e-13 1.69051e+08 
4143.52 21776.6 -1.7498e-14 1.84603e-13 1.69044e+08 


4167.81 17524.7 -1.76272e-14 1.48623e-13 1.69189e+08 
8242.75 17330.8 -3.48873e-14 1.4697e-13 1.69151e+08 

4143.52 21776.6 -1.7498e-14 1.84603e-13 1.69044e+08 
8307.33 21831.7 -3.51098e-14 1.8504e-13 1.68997e+08 


1.30692e-12 22002.4 0 1.86518e-13 1.69051e+08 
4143.52 21776.6 -1.7498e-14 1.84603e-13 1.69044e+08 

1.5683e-12 26402 0 2.23676e-13 1.68866e+08 
4161.63 26243.7 -1.75424e-14 2.22328e-13 1.68856e+08 


4143.52 21776.6 -1.7498e-14 1.84603e-13 1.69044e+08 
8307.33 21831.7 -3.51098e-14 1.8504e-13 1.68997e+08 

4161.63 26243.7 -1.75424e-14 2.22328e-13 1.68856e+08 
8308.58 26200.1 -3.50533e-14 2.21936e-13 1.68813e+08 


8242.75 17330.8 -3.48873e-14 1.4697e-13 1.69151e+08 
12380.8 17354.9 -5.23982e-14 1.47143e-13 1.69077e+08 

8307.33 21831.7 -3.51098e-14 1.8504e-13 1.68997e+08 
12393.4 21714.3 -5.23771e-14 1.8401e-13 1.68928e+08 


12380.8 17354.9 -5.23982e-14 1.47143e-13 1.69077e+08 
16591.8 17444.2 -7.02123e-14 1.47852e-13 1.68968e+08 

12393.4 21714.3 -5.23771e-14 1.8401e-13 1.68928e+08 
16498.6 21681.5 -6.97189e-14 1.83684e-13 1.68827e+08 


8307.33 21831.7 -3.51098e-14 1.8504e-13 1.68997e+08 
12393.4 21714.3 -5.23771e-14 1.8401e-13 1.68928e+08 

8308.58 26200.1 -3.50533e-14 2.21936e-13 1.68813e+08 
12365 25995.6 -5.21652e-14 2.20167e-13 1.6875e+08 


12393.4 21714.3 -5.23771e-14 1.8401e-13 1.68928e+08 
16498.6 21681.5 -6.97189e-14 1.83684e-13 1.68827e+08 

12365 25995.6 -5.21652e-14 2.20167e-13 1.6875e+08 
16550.2 26097.1 -6.98151e-14 2.20956e-13 1.68641e+08 


1.5683e-12 26402 0 2.23676e-13 1.68866e+08 
4161.63 26243.7 -1.75424e-14 2.22328e-13 1.68856e+08 

1.82969e-12 30801.5 0 2.60767e-13 1.68646e+08 
4152.61 30548.9 -1.74684e-14 2.5863e-13 1.68643e+08 


4161.63 26243.7 -1.75424e-14 2.22328e-13 1.68856e+08 
