# This file was generated by the deal.II library.
# Date =  2015/8/18
# Time =  20:18:41
#
# For a description of the GNUPLOT format see the GNUPLOT manual.
#
# <x> <y> <velocity> <velocity> <pressure> 
0 0 0 0 1.6962e+08 
4265.15 0 -3.31541e-14 0 1.69603e+08 

2.61384e-13 4420.82 0 6.87634e-14 1.69603e+08 
4153.49 4380.65 -3.22785e-14 6.81339e-14 1.69587e+08 


4265.15 0 -3.31541e-14 0 1.69603e+08 
8531.02 0 -6.63383e-14 0 1.69556e+08 

4153.49 4380.65 -3.22785e-14 6.81339e-14 1.69587e+08 
8490 4476.9 -6.60078e-14 6.96172e-14 1.69539e+08 


2.61384e-13 4420.82 0 6.87634e-14 1.69603e+08 
4153.49 4380.65 -3.22785e-14 6.81339e-14 1.69587e+08 

5.22767e-13 8841.4 0 1.37504e-13 1.69552e+08 
4126.79 8704.78 -3.20604e-14 1.35376e-13 1.69537e+08 


4153.49 4380.65 -3.22785e-14 6.81339e-14 1.69587e+08 
8490 4476.9 -6.60078e-14 6.96172e-14 1.69539e+08 

4126.79 8704.78 -3.20604e-14 1.35376e-13 1.69537e+08 
8307.81 8761.39 -6.45643e-14 1.36235e-13 1.69492e+08 


8531.02 0 -6.63383e-14 0 1.69556e+08 
12796.4 0 -9.94962e-14 0 1.69478e+08 

8490 4476.9 -6.60078e-14 6.96172e-14 1.69539e+08 
12880.1 4528.11 -1.00133e-13 7.03947e-14 1.69458e+08 


12796.4 0 -9.94962e-14 0 1.69478e+08 
17061.7 0 -1.32638e-13 0 1.69368e+08 

12880.1 4528.11 -1.00133e-13 7.03947e-14 1.69458e+08 
17198.3 4534.89 -1.3368e-13 7.04742e-14 1.69345e+08 


8490 4476.9 -6.60078e-14 6.96172e-14 1.69539e+08 
12880.1 4528.11 -1.00133e-13 7.03947e-14 1.69458e+08 

8307.81 8761.39 -6.45643e-14 1.36235e-13 1.69492e+08 
12635.6 8884.01 -9.8191e-14 1.38101e-13 1.69412e+08 


12880.1 4528.11 -1.00133e-13 7.03947e-14 1.69458e+08 
17198.3 4534.89 -1.3368e-13 7.04742e-14 1.69345e+08 

12635.6 8884.01 -9.8191e-14 1.38101e-13 1.69412e+08 
16980 8954.34 -1.31928e-13 1.39139e-13 1.693e+08 


5.22767e-13 8841.4 0 1.37504e-13 1.69552e+08 
4126.79 8704.78 -3.20604e-14 1.35376e-13 1.69537e+08 

7.8415e-13 13261.9 0 2.06204e-13 1.69466e+08 
4159.53 13160.1 -3.22937e-14 2.04613e-13 1.69452e+08 


4126.79 8704.78 -3.20604e-14 1.35376e-13 1.69537e+08 
8307.81 8761.39 -6.45643e-14 1.36235e-13 1.69492e+08 

4159.53 13160.1 -3.22937e-14 2.04613e-13 1.69452e+08 
8286.49 13107.7 -6.43572e-14 2.03768e-13 1.69409e+08 


7.8415e-13 13261.9 0 2.06204e-13 1.69466e+08 
4159.53 13160.1 -3.22937e-14 2.04613e-13 1.69452e+08 

1.04554e-12 17682.1 0 2.74844e-13 1.69346e+08 
4173.4 17604.2 -3.2371e-14 2.73619e-13 1.69332e+08 


4159.53 13160.1 -3.22937e-14 2.04613e-13 1.69452e+08 
8286.49 13107.7 -6.43572e-14 2.03768e-13 1.69409e+08 

4173.4 17604.2 -3.2371e-14 2.73619e-13 1.69332e+08 
8254.85 17409.2 -6.40531e-14 2.70559e-13 1.69294e+08 


8307.81 8761.39 -6.45643e-14 1.36235e-13 1.69492e+08 
12635.6 8884.01 -9.8191e-14 1.38101e-13 1.69412e+08 

8286.49 13107.7 -6.43572e-14 2.03768e-13 1.69409e+08 
12461.9 13142.2 -9.67768e-14 2.04253e-13 1.69333e+08 


12635.6 8884.01 -9.8191e-14 1.38101e-13 1.69412e+08 
16980 8954.34 -1.31928e-13 1.39139e-13 1.693e+08 

12461.9 13142.2 -9.67768e-14 2.04253e-13 1.69333e+08 
16749.3 13248.4 -1.30049e-13 2.05826e-13 1.69223e+08 


8286.49 13107.7 -6.43572e-14 2.03768e-13 1.69409e+08 
