# This file was generated by the deal.II library.
# Date =  2015/8/18
# Time =  20:19:35
#
# For a description of the GNUPLOT format see the GNUPLOT manual.
#
# <x> <y> <velocity> <velocity> <pressure> 
0 0 0 0 1.69543e+08 
4259.14 0 -1.59696e-14 0 1.69525e+08 

2.61384e-13 4425.05 0 3.32209e-14 1.69526e+08 
4147.66 4384.84 -1.55473e-14 3.29151e-14 1.69509e+08 


4259.14 0 -1.59696e-14 0 1.69525e+08 
8518.79 0 -3.19673e-14 0 1.69478e+08 

4147.66 4384.84 -1.55473e-14 3.29151e-14 1.69509e+08 
8477.85 4481.16 -3.18091e-14 3.3627e-14 1.69461e+08 


2.61384e-13 4425.05 0 3.32209e-14 1.69526e+08 
4147.66 4384.84 -1.55473e-14 3.29151e-14 1.69509e+08 

5.22767e-13 8849.86 0 6.64354e-14 1.69475e+08 
4120.99 8713.13 -1.54463e-14 6.54068e-14 1.6946e+08 


4147.66 4384.84 -1.55473e-14 3.29151e-14 1.69509e+08 
8477.85 4481.16 -3.18091e-14 3.3627e-14 1.69461e+08 

4120.99 8713.13 -1.54463e-14 6.54068e-14 1.6946e+08 
8295.93 8769.8 -3.11191e-14 6.58153e-14 1.69414e+08 


8518.79 0 -3.19673e-14 0 1.69478e+08 
12778 0 -4.79432e-14 0 1.694e+08 

8477.85 4481.16 -3.18091e-14 3.3627e-14 1.69461e+08 
12861.6 4532.43 -4.82537e-14 3.39972e-14 1.6938e+08 


12778 0 -4.79432e-14 0 1.694e+08 
17037.2 0 -6.39064e-14 0 1.6929e+08 

12861.6 4532.43 -4.82537e-14 3.39972e-14 1.6938e+08 
17173.6 4539.23 -6.44128e-14 3.40281e-14 1.69268e+08 


8477.85 4481.16 -3.18091e-14 3.3627e-14 1.69461e+08 
12861.6 4532.43 -4.82537e-14 3.39972e-14 1.6938e+08 

8295.93 8769.8 -3.11191e-14 6.58153e-14 1.69414e+08 
12617.4 8892.52 -4.7327e-14 6.67037e-14 1.69334e+08 


12861.6 4532.43 -4.82537e-14 3.39972e-14 1.6938e+08 
17173.6 4539.23 -6.44128e-14 3.40281e-14 1.69268e+08 

