# This file was generated by the deal.II library.
# Date =  2015/8/18
# Time =  20:21:19
#
# For a description of the GNUPLOT format see the GNUPLOT manual.
#
# <x> <y> <velocity> <velocity> <pressure> 
0 0 0 0 1.69491e+08 
4257.86 0 -1.23214e-14 0 1.69474e+08 

2.61384e-13 4414.81 0 2.55895e-14 1.69474e+08 
4146.46 4374.68 -1.19957e-14 2.53528e-14 1.69458e+08 


4257.86 0 -1.23214e-14 0 1.69474e+08 
8515.74 0 -2.46689e-14 0 1.69427e+08 

4146.46 4374.68 -1.19957e-14 2.53528e-14 1.69458e+08 
8474.85 4470.74 -2.45479e-14 2.5898e-14 1.6941e+08 


2.61384e-13 4414.81 0 2.55895e-14 1.69474e+08 
4146.46 4374.68 -1.19957e-14 2.53528e-14 1.69458e+08 

5.22767e-13 8829.4 0 5.11771e-14 1.69423e+08 
4119.76 8693.04 -1.19202e-14 5.03841e-14 1.69409e+08 


4146.46 4374.68 -1.19957e-14 2.53528e-14 1.69458e+08 
8474.85 4470.74 -2.45479e-14 2.5898e-14 1.6941e+08 

4119.76 8693.04 -1.19202e-14 5.03841e-14 1.69409e+08 
8293.01 8749.57 -2.40194e-14 5.06942e-14 1.69363e+08 


8515.74 0 -2.46689e-14 0 1.69427e+08 
12773.4 0 -3.69951e-14 0 1.69348e+08 

8474.85 4470.74 -2.45479e-14 2.5898e-14 1.6941e+08 
12856.9 4521.91 -3.72371e-14 2.61792e-14 1.69328e+08 


12773.4 0 -3.69951e-14 0 1.69348e+08 
17031 0 -4.93082e-14 0 1.69238e+08 

12856.9 4521.91 -3.72371e-14 2.61792e-14 1.69328e+08 
17167.4 4528.72 -4.97018e-14 2.61977e-14 1.69216e+08 


8474.85 4470.74 -2.45479e-14 2.5898e-14 1.6941e+08 
12856.9 4521.91 -3.72371e-14 2.61792e-14 1.69328e+08 

8293.01 8749.57 -2.40194e-14 5.06942e-14 1.69363e+08 
12612.9 8871.96 -3.65284e-14 5.13697e-14 1.69283e+08 


12856.9 4521.91 -3.72371e-14 2.61792e-14 1.69328e+08 
17167.4 4528.72 -4.97018e-14 2.61977e-14 1.69216e+08 

12612.9 8871.96 -3.65284e-14 5.13697e-14 1.69283e+08 
16949.4 8942.19 -4.907e-14 5.17321e-14 1.69171e+08 


5.22767e-13 8829.4 0 5.11771e-14 1.69423e+08 
4119.76 8693.04 -1.19202e-14 5.03841e-14 1.69409e+08 

7.8415e-13 13243.9 0 7.67622e-14 1.69338e+08 
4152.41 13142.3 -1.20154e-14 7.61653e-14 1.69324e+08 


4119.76 8693.04 -1.19202e-14 5.03841e-14 1.69409e+08 
8293.01 8749.57 -2.40194e-14 5.06942e-14 1.69363e+08 

4152.41 13142.3 -1.20154e-14 7.61653e-14 1.69324e+08 
8271.68 13090 -2.39582e-14 7.58357e-14 1.6928e+08 


7.8415e-13 13243.9 0 7.67622e-14 1.69338e+08 
4152.41 13142.3 -1.20154e-14 7.61653e-14 1.69324e+08 

1.04554e-12 17658.2 0 1.02345e-13 1.69219e+08 
4166.23 17580.4 -1.20555e-14 1.01881e-13 1.69205e+08 


4152.41 13142.3 -1.20154e-14 7.61653e-14 1.69324e+08 
8271.68 13090 -2.39582e-14 7.58357e-14 1.6928e+08 

4166.23 17580.4 -1.20555e-14 1.01881e-13 1.69205e+08 
8240.06 17385.8 -2.38662e-14 1.00727e-13 1.69167e+08 


8293.01 8749.57 -2.40194e-14 5.06942e-14 1.69363e+08 
12612.9 8871.96 -3.65284e-14 5.13697e-14 1.69283e+08 

8271.68 13090 -2.39582e-14 7.58357e-14 1.6928e+08 
12439.5 13124.5 -3.60241e-14 7.59947e-14 1.69205e+08 


12612.9 8871.96 -3.65284e-14 5.13697e-14 1.69283e+08 
16949.4 8942.19 -4.907e-14 5.17321e-14 1.69171e+08 

12439.5 13124.5 -3.60241e-14 7.59947e-14 1.69205e+08 
16719.2 13230.6 -4.84017e-14 7.6547e-14 1.69095e+08 


8271.68 13090 -2.39582e-14 7.58357e-14 1.6928e+08 
12439.5 13124.5 -3.60241e-14 7.59947e-14 1.69205e+08 

8240.06 17385.8 -2.38662e-14 1.00727e-13 1.69167e+08 
12376.8 17410.1 -3.58402e-14 1.0081e-13 1.69092e+08 


12439.5 13124.5 -3.60241e-14 7.59947e-14 1.69205e+08 
16719.2 13230.6 -4.84017e-14 7.6547e-14 1.69095e+08 

12376.8 17410.1 -3.58402e-14 1.0081e-13 1.69092e+08 
16586.5 17499.7 -4.8016e-14 1.01247e-13 1.68984e+08 


17031 0 -4.93082e-14 0 1.69238e+08 
21288.4 0 -6.1603e-14 0 1.69097e+08 

17167.4 4528.72 -4.97018e-14 2.61977e-14 1.69216e+08 
21475.4 4532.46 -6.21419e-14 2.61915e-14 1.69072e+08 


21288.4 0 -6.1603e-14 0 1.69097e+08 
25545.7 0 -7.38759e-14 0 1.68924e+08 

21475.4 4532.46 -6.21419e-14 2.61915e-14 1.69072e+08 
25786.3 4535.63 -7.45693e-14 2.61762e-14 1.68896e+08 


17167.4 4528.72 -4.97018e-14 2.61977e-14 1.69216e+08 
21475.4 4532.46 -6.21419e-14 2.61915e-14 1.69072e+08 

16949.4 8942.19 -4.907e-14 5.17321e-14 1.69171e+08 
21309.4 8994.57 -6.16603e-14 5.19792e-14 1.69026e+08 


21475.4 4532.46 -6.21419e-14 2.61915e-14 1.69072e+08 
25786.3 4535.63 -7.45693e-14 2.61762e-14 1.68896e+08 

21309.4 8994.57 -6.16603e-14 5.19792e-14 1.69026e+08 
25713.3 9045.23 -7.43563e-14 5.2201e-14 1.68846e+08 


25545.7 0 -7.38759e-14 0 1.68924e+08 
29802.8 0 -8.61219e-14 0 1.68721e+08 

25786.3 4535.63 -7.45693e-14 2.61762e-14 1.68896e+08 
30031.1 4528.04 -8.67776e-14 2.6093e-14 1.68691e+08 


29802.8 0 -8.61219e-14 0 1.68721e+08 
34059.7 0 -9.8337e-14 0 1.68485e+08 

30031.1 4528.04 -8.67776e-14 2.6093e-14 1.68691e+08 
34239 4517.62 -9.88498e-14 2.59876e-14 1.68457e+08 


25786.3 4535.63 -7.45693e-14 2.61762e-14 1.68896e+08 
30031.1 4528.04 -8.67776e-14 2.6093e-14 1.68691e+08 

25713.3 9045.23 -7.43563e-14 5.2201e-14 1.68846e+08 
30050.6 9061.66 -8.68316e-14 5.22141e-14 1.68636e+08 


30031.1 4528.04 -8.67776e-14 2.6093e-14 1.68691e+08 
34239 4517.62 -9.88498e-14 2.59876e-14 1.68457e+08 

30050.6 9061.66 -8.68316e-14 5.22141e-14 1.68636e+08 
34333 9059.75 -9.9116e-14 5.21103e-14 1.68398e+08 


16949.4 8942.19 -4.907e-14 5.17321e-14 1.69171e+08 
21309.4 8994.57 -6.16603e-14 5.19792e-14 1.69026e+08 

16719.2 13230.6 -4.84017e-14 7.6547e-14 1.69095e+08 
21083.5 13348.3 -6.10067e-14 7.71438e-14 1.68949e+08 


21309.4 8994.57 -6.16603e-14 5.19792e-14 1.69026e+08 
25713.3 9045.23 -7.43563e-14 5.2201e-14 1.68846e+08 

21083.5 13348.3 -6.10067e-14 7.71438e-14 1.68949e+08 
25424 13414.7 -7.35192e-14 7.74273e-14 1.68773e+08 


16719.2 13230.6 -4.84017e-14 7.6547e-14 1.69095e+08 
21083.5 13348.3 -6.10067e-14 7.71438e-14 1.68949e+08 

16586.5 17499.7 -4.8016e-14 1.01247e-13 1.68984e+08 
20837.5 17589 -6.02909e-14 1.0166e-13 1.68844e+08 


21083.5 13348.3 -6.10067e-14 7.71438e-14 1.68949e+08 
25424 13414.7 -7.35192e-14 7.74273e-14 1.68773e+08 

20837.5 17589 -6.02909e-14 1.0166e-13 1.68844e+08 
25226.3 17746 -7.29469e-14 1.0243e-13 1.68664e+08 


25713.3 9045.23 -7.43563e-14 5.2201e-14 1.68846e+08 
30050.6 9061.66 -8.68316e-14 5.22141e-14 1.68636e+08 

25424 13414.7 -7.35192e-14 7.74273e-14 1.68773e+08 
29777.4 13468.3 -8.60416e-14 7.76151e-14 1.68564e+08 


30050.6 9061.66 -8.68316e-14 5.22141e-14 1.68636e+08 
34333 9059.75 -9.9116e-14 5.21103e-14 1.68398e+08 

29777.4 13468.3 -8.60416e-14 7.76151e-14 1.68564e+08 
34142.3 13513.5 -9.85644e-14 7.77347e-14 1.68321e+08 


25424 13414.7 -7.35192e-14 7.74273e-14 1.68773e+08 
29777.4 13468.3 -8.60416e-14 7.76151e-14 1.68564e+08 

25226.3 17746 -7.29469e-14 1.0243e-13 1.68664e+08 
29535.2 17810.6 -8.53397e-14 1.02648e-13 1.68458e+08 


29777.4 13468.3 -8.60416e-14 7.76151e-14 1.68564e+08 
34142.3 13513.5 -9.85644e-14 7.77347e-14 1.68321e+08 

29535.2 17810.6 -8.53397e-14 1.02648e-13 1.68458e+08 
33898.8 17888.4 -9.78623e-14 1.02911e-13 1.68216e+08 


1.04554e-12 17658.2 0 1.02345e-13 1.69219e+08 
4166.23 17580.4 -1.20555e-14 1.01881e-13 1.69205e+08 

1.30692e-12 22072.1 0 1.27927e-13 1.69066e+08 
4141.94 21845.6 -1.19826e-14 1.26602e-13 1.69058e+08 


4166.23 17580.4 -1.20555e-14 1.01881e-13 1.69205e+08 
8240.06 17385.8 -2.38662e-14 1.00727e-13 1.69167e+08 

4141.94 21845.6 -1.19826e-14 1.26602e-13 1.69058e+08 
8304.71 21901 -2.4053e-14 1.26875e-13 1.69011e+08 


1.30692e-12 22072.1 0 1.27927e-13 1.69066e+08 
4141.94 21845.6 -1.19826e-14 1.26602e-13 1.69058e+08 

1.5683e-12 26485.6 0 1.53498e-13 1.6888e+08 
