# This file was generated by the deal.II library.
# Date =  2015/8/18
# Time =  20:36:38
#
# For a description of the GNUPLOT format see the GNUPLOT manual.
#
# <x> <y> <velocity> <velocity> <pressure> 
0 0 0 0 1.69406e+08 
4253.81 0 -4.3263e-16 0 1.69389e+08 

2.61384e-13 4400.06 0 9.32634e-16 1.69389e+08 
4142.75 4359.96 -4.19309e-16 9.21633e-16 1.69373e+08 


4253.81 0 -4.3263e-16 0 1.69389e+08 
8505.42 0 -8.92711e-16 0 1.69342e+08 

4142.75 4359.96 -4.19309e-16 9.21633e-16 1.69373e+08 
8464.74 4455.52 -8.88725e-16 9.35552e-16 1.69326e+08 


2.61384e-13 4400.06 0 9.32634e-16 1.69389e+08 
4142.75 4359.96 -4.19309e-16 9.21633e-16 1.69373e+08 

5.22767e-13 8799.91 0 1.87015e-15 1.69339e+08 
4115.91 8664.22 -4.2216e-16 1.84159e-15 1.69325e+08 


4142.75 4359.96 -4.19309e-16 9.21633e-16 1.69373e+08 
8464.74 4455.52 -8.88725e-16 9.35552e-16 1.69326e+08 

4115.91 8664.22 -4.2216e-16 1.84159e-15 1.69325e+08 
8283.19 8720.51 -8.75429e-16 1.84567e-15 1.69279e+08 


8505.42 0 -8.92711e-16 0 1.69342e+08 
12757.6 0 -1.33772e-15 0 1.69264e+08 

8464.74 4455.52 -8.88725e-16 9.35552e-16 1.69326e+08 
12841 4506.56 -1.35094e-15 9.40008e-16 1.69244e+08 


12757.6 0 -1.33772e-15 0 1.69264e+08 
17009.9 0 -1.77684e-15 0 1.69154e+08 

12841 4506.56 -1.35094e-15 9.40008e-16 1.69244e+08 
17146.1 4513.4 -1.79605e-15 9.32802e-16 1.69132e+08 


8464.74 4455.52 -8.88725e-16 9.35552e-16 1.69326e+08 
12841 4506.56 -1.35094e-15 9.40008e-16 1.69244e+08 

8283.19 8720.51 -8.75429e-16 1.84567e-15 1.69279e+08 
12597.4 8842.22 -1.33509e-15 1.85502e-15 1.69199e+08 


12841 4506.56 -1.35094e-15 9.40008e-16 1.69244e+08 
17146.1 4513.4 -1.79605e-15 9.32802e-16 1.69132e+08 

12597.4 8842.22 -1.33509e-15 1.85502e-15 1.69199e+08 
16928.4 8912.09 -1.78838e-15 1.84979e-15 1.69087e+08 


5.22767e-13 8799.91 0 1.87015e-15 1.69339e+08 
4115.91 8664.22 -4.2216e-16 1.84159e-15 1.69325e+08 

7.8415e-13 13199.7 0 2.81715e-15 1.69255e+08 
4148.41 13098.4 -4.32769e-16 2.79186e-15 1.69241e+08 


4115.91 8664.22 -4.2216e-16 1.84159e-15 1.69325e+08 
8283.19 8720.51 -8.75429e-16 1.84567e-15 1.69279e+08 

4148.41 13098.4 -4.32769e-16 2.79186e-15 1.69241e+08 
8261.71 13046.2 -8.86626e-16 2.76834e-15 1.69198e+08 


