# This file was generated by the deal.II library.
# Date =  2015/8/18
# Time =  20:18:50
#
# For a description of the GNUPLOT format see the GNUPLOT manual.
#
# <x> <y> <velocity> <velocity> <pressure> 
0 0 0 0 1.69411e+08 
4214.59 0 1.30239e-13 0 1.69395e+08 

2.61384e-13 4525.7 0 -2.79666e-13 1.69394e+08 
4104.26 4484.57 1.26817e-13 -2.77109e-13 1.69379e+08 


4214.59 0 1.30239e-13 0 1.69395e+08 
8429.84 0 2.60444e-13 0 1.69349e+08 

4104.26 4484.57 1.26817e-13 -2.77109e-13 1.69379e+08 
8389.33 4583.07 2.59162e-13 -2.83143e-13 1.69331e+08 


2.61384e-13 4525.7 0 -2.79666e-13 1.69394e+08 
4104.26 4484.57 1.26817e-13 -2.77109e-13 1.69379e+08 

5.22767e-13 9051.11 0 -5.59245e-13 1.69342e+08 
4077.9 8911.25 1.25955e-13 -5.5057e-13 1.69328e+08 


4104.26 4484.57 1.26817e-13 -2.77109e-13 1.69379e+08 
8389.33 4583.07 2.59162e-13 -2.83143e-13 1.69331e+08 

4077.9 8911.25 1.25955e-13 -5.5057e-13 1.69328e+08 
8209.34 8969.18 2.53512e-13 -5.54046e-13 1.69283e+08 


8429.84 0 2.60444e-13 0 1.69349e+08 
12644.6 0 3.90595e-13 0 1.69271e+08 

8389.33 4583.07 2.59162e-13 -2.83143e-13 1.69331e+08 
12727.4 4635.47 3.93097e-13 -2.86284e-13 1.69251e+08 


12644.6 0 3.90595e-13 0 1.69271e+08 
16859.4 0 5.2067e-13 0 1.69162e+08 

12727.4 4635.47 3.93097e-13 -2.86284e-13 1.69251e+08 
16994.4 4642.38 5.24767e-13 -2.86576e-13 1.6914e+08 


8389.33 4583.07 2.59162e-13 -2.83143e-13 1.69331e+08 
12727.4 4635.47 3.93097e-13 -2.86284e-13 1.69251e+08 

8209.34 8969.18 2.53512e-13 -5.54046e-13 1.69283e+08 
12485.8 9094.64 3.85497e-13 -5.61616e-13 1.69204e+08 


12727.4 4635.47 3.93097e-13 -2.86284e-13 1.69251e+08 
16994.4 4642.38 5.24767e-13 -2.86576e-13 1.6914e+08 

12485.8 9094.64 3.85497e-13 -5.61616e-13 1.69204e+08 
16778.7 9166.55 5.17916e-13 -5.65797e-13 1.69093e+08 


5.22767e-13 9051.11 0 -5.59245e-13 1.69342e+08 
4077.9 8911.25 1.25955e-13 -5.5057e-13 1.69328e+08 

7.8415e-13 13576.4 0 -8.38674e-13 1.69255e+08 
