# This file was generated by the deal.II library.
# Date =  2015/8/18
# Time =  20:24: 5
#
# For a description of the GNUPLOT format see the GNUPLOT manual.
#
# <x> <y> <velocity> <velocity> <pressure> 
0 0 0 0 1.69448e+08 
4255.26 0 -8.79292e-15 0 1.6943e+08 

2.61384e-13 4405.91 0 1.82459e-14 1.69431e+08 
4144.01 4365.82 -8.55969e-15 1.80766e-14 1.69415e+08 


4255.26 0 -8.79292e-15 0 1.6943e+08 
8509.8 0 -1.76112e-14 0 1.69384e+08 

4144.01 4365.82 -8.55969e-15 1.80766e-14 1.69415e+08 
8468.99 4461.63 -1.75243e-14 1.84646e-14 1.69367e+08 


2.61384e-13 4405.91 0 1.82459e-14 1.69431e+08 
4144.01 4365.82 -8.55969e-15 1.80766e-14 1.69415e+08 

5.22767e-13 8811.61 0 3.64903e-14 1.6938e+08 
4117.27 8675.59 -8.50624e-15 3.5926e-14 1.69366e+08 


4144.01 4365.82 -8.55969e-15 1.80766e-14 1.69415e+08 
8468.99 4461.63 -1.75243e-14 1.84646e-14 1.69367e+08 

4117.27 8675.59 -8.50624e-15 3.5926e-14 1.69366e+08 
8287.3 8732 -1.71465e-14 3.61471e-14 1.6932e+08 


8509.8 0 -1.76112e-14 0 1.69384e+08 
12764.4 0 -2.64119e-14 0 1.69305e+08 

8468.99 4461.63 -1.75243e-14 1.84646e-14 1.69367e+08 
12847.9 4512.71 -2.65848e-14 1.86654e-14 1.69285e+08 


12764.4 0 -2.64119e-14 0 1.69305e+08 
17019 0 -3.52033e-14 0 1.69195e+08 

12847.9 4512.71 -2.65848e-14 1.86654e-14 1.69285e+08 
17155.2 4519.53 -3.54842e-14 1.86791e-14 1.69173e+08 


8468.99 4461.63 -1.75243e-14 1.84646e-14 1.69367e+08 
12847.9 4512.71 -2.65848e-14 1.86654e-14 1.69285e+08 

8287.3 8732 -1.71465e-14 3.61471e-14 1.6932e+08 
12604 8854.05 -2.60781e-14 3.66276e-14 1.6924e+08 


12847.9 4512.71 -2.65848e-14 1.86654e-14 1.69285e+08 
17155.2 4519.53 -3.54842e-14 1.86791e-14 1.69173e+08 

12604 8854.05 -2.60781e-14 3.66276e-14 1.6924e+08 
16937.4 8924.1 -3.50327e-14 3.68859e-14 1.69128e+08 


5.22767e-13 8811.61 0 3.64903e-14 1.6938e+08 
4117.27 8675.59 -8.50624e-15 3.5926e-14 1.69366e+08 

7.8415e-13 13217.2 0 5.47325e-14 1.69296e+08 
4149.86 13115.8 -8.57425e-15 5.43071e-14 1.69281e+08 


4117.27 8675.59 -8.50624e-15 3.5926e-14 1.69366e+08 
8287.3 8732 -1.71465e-14 3.61471e-14 1.6932e+08 

4149.86 13115.8 -8.57425e-15 5.43071e-14 1.69281e+08 
8265.93 13063.6 -1.71029e-14 5.40718e-14 1.69238e+08 


7.8415e-13 13217.2 0 5.47325e-14 1.69296e+08 
4149.86 13115.8 -8.57425e-15 5.43071e-14 1.69281e+08 

1.04554e-12 17622.7 0 7.29733e-14 1.69178e+08 
4163.63 17545 -8.60294e-15 7.26416e-14 1.69163e+08 


4149.86 13115.8 -8.57425e-15 5.43071e-14 1.69281e+08 
8265.93 13063.6 -1.71029e-14 5.40718e-14 1.69238e+08 

4163.63 17545 -8.60294e-15 7.26416e-14 1.69163e+08 
8234.28 17350.9 -1.70371e-14 7.18216e-14 1.69125e+08 


8287.3 8732 -1.71465e-14 3.61471e-14 1.6932e+08 
12604 8854.05 -2.60781e-14 3.66276e-14 1.6924e+08 

8265.93 13063.6 -1.71029e-14 5.40718e-14 1.69238e+08 
12430.8 13098.1 -2.57174e-14 5.41861e-14 1.69163e+08 


12604 8854.05 -2.60781e-14 3.66276e-14 1.6924e+08 
16937.4 8924.1 -3.50327e-14 3.68859e-14 1.69128e+08 

12430.8 13098.1 -2.57174e-14 5.41861e-14 1.69163e+08 
16707.3 13203.9 -3.45547e-14 5.45804e-14 1.69052e+08 


8265.93 13063.6 -1.71029e-14 5.40718e-14 1.69238e+08 
12430.8 13098.1 -2.57174e-14 5.41861e-14 1.69163e+08 

8234.28 17350.9 -1.70371e-14 7.18216e-14 1.69125e+08 
12368 17375.1 -2.55856e-14 7.18806e-14 1.69051e+08 


12430.8 13098.1 -2.57174e-14 5.41861e-14 1.69163e+08 
16707.3 13203.9 -3.45547e-14 5.45804e-14 1.69052e+08 

12368 17375.1 -2.55856e-14 7.18806e-14 1.69051e+08 
16574.6 17464.5 -3.42787e-14 7.21916e-14 1.68942e+08 


17019 0 -3.52033e-14 0 1.69195e+08 
21273.4 0 -4.39817e-14 0 1.69054e+08 

17155.2 4519.53 -3.54842e-14 1.86791e-14 1.69173e+08 
21460.2 4523.27 -4.43663e-14 1.86751e-14 1.6903e+08 


21273.4 0 -4.39817e-14 0 1.69054e+08 
25527.6 0 -5.27447e-14 0 1.68882e+08 

21460.2 4523.27 -4.43663e-14 1.86751e-14 1.6903e+08 
25768.1 4526.45 -5.32398e-14 1.86648e-14 1.68853e+08 


17155.2 4519.53 -3.54842e-14 1.86791e-14 1.69173e+08 
21460.2 4523.27 -4.43663e-14 1.86751e-14 1.6903e+08 

16937.4 8924.1 -3.50327e-14 3.68859e-14 1.69128e+08 
21294.3 8976.37 -4.40218e-14 3.70625e-14 1.68983e+08 


21460.2 4523.27 -4.43663e-14 1.86751e-14 1.6903e+08 
