# This file was generated by the deal.II library.
# Date =  2015/8/18
# Time =  20:33: 7
#
# For a description of the GNUPLOT format see the GNUPLOT manual.
#
# <x> <y> <velocity> <velocity> <pressure> 
0 0 0 0 1.69424e+08 
4257.71 0 -1.29944e-14 0 1.69407e+08 

2.61384e-13 4393.77 0 2.68539e-14 1.69407e+08 
4146.48 4353.75 -1.26494e-14 2.66073e-14 1.69391e+08 


4257.71 0 -1.29944e-14 0 1.69407e+08 
8513.77 0 -2.60119e-14 0 1.6936e+08 

4146.48 4353.75 -1.26494e-14 2.66073e-14 1.69391e+08 
8473.01 4449.22 -2.58801e-14 2.71858e-14 1.69343e+08 


2.61384e-13 4393.77 0 2.68539e-14 1.69407e+08 
4146.48 4353.75 -1.26494e-14 2.66073e-14 1.69391e+08 

5.22767e-13 8787.34 0 5.36961e-14 1.69356e+08 
4119.65 8651.78 -1.25627e-14 5.28695e-14 1.69343e+08 


4146.48 4353.75 -1.26494e-14 2.66073e-14 1.69391e+08 
8473.01 4449.22 -2.58801e-14 2.71858e-14 1.69343e+08 

4119.65 8651.78 -1.25627e-14 5.28695e-14 1.69343e+08 
8291.25 8708 -2.53097e-14 5.32076e-14 1.69297e+08 


8513.77 0 -2.60119e-14 0 1.6936e+08 
12770.2 0 -3.90171e-14 0 1.69282e+08 

8473.01 4449.22 -2.58801e-14 2.71858e-14 1.69343e+08 
12853.7 4500.17 -3.92649e-14 2.74932e-14 1.69262e+08 


12770.2 0 -3.90171e-14 0 1.69282e+08 
17026.7 0 -5.20184e-14 0 1.69172e+08 

12853.7 4500.17 -3.92649e-14 2.74932e-14 1.69262e+08 
17163.1 4506.99 -5.24242e-14 2.75296e-14 1.6915e+08 


8473.01 4449.22 -2.58801e-14 2.71858e-14 1.69343e+08 
12853.7 4500.17 -3.92649e-14 2.74932e-14 1.69262e+08 

8291.25 8708 -2.53097e-14 5.32076e-14 1.69297e+08 
12609.8 8829.6 -3.84964e-14 5.39383e-14 1.69217e+08 


12853.7 4500.17 -3.92649e-14 2.74932e-14 1.69262e+08 
17163.1 4506.99 -5.24242e-14 2.75296e-14 1.6915e+08 

12609.8 8829.6 -3.84964e-14 5.39383e-14 1.69217e+08 
16945.1 8899.4 -5.17283e-14 5.43511e-14 1.69105e+08 


5.22767e-13 8787.34 0 5.36961e-14 1.69356e+08 
4119.65 8651.78 -1.25627e-14 5.28695e-14 1.69343e+08 

7.8415e-13 13180.8 0 8.05165e-14 1.69272e+08 
4152.21 13079.7 -1.26512e-14 7.98977e-14 1.69259e+08 


4119.65 8651.78 -1.25627e-14 5.28695e-14 1.69343e+08 
8291.25 8708 -2.53097e-14 5.32076e-14 1.69297e+08 

4152.21 13079.7 -1.26512e-14 7.98977e-14 1.69259e+08 
8269.78 13027.6 -2.52225e-14 7.95712e-14 1.69215e+08 


7.8415e-13 13180.8 0 8.05165e-14 1.69272e+08 
4152.21 13079.7 -1.26512e-14 7.98977e-14 1.69259e+08 

1.04554e-12 17574.3 0 1.07307e-13 1.69155e+08 
4165.93 17496.7 -1.26771e-14 1.06829e-13 1.69141e+08 


4152.21 13079.7 -1.26512e-14 7.98977e-14 1.69259e+08 
8269.78 13027.6 -2.52225e-14 7.95712e-14 1.69215e+08 

4165.93 17496.7 -1.26771e-14 1.06829e-13 1.69141e+08 
8238.04 17303.4 -2.50946e-14 1.05648e-13 1.69103e+08 


8291.25 8708 -2.53097e-14 5.32076e-14 1.69297e+08 
12609.8 8829.6 -3.84964e-14 5.39383e-14 1.69217e+08 

8269.78 13027.6 -2.52225e-14 7.95712e-14 1.69215e+08 
