# This file was generated by the deal.II library.
# Date =  2015/8/18
# Time =  20:23:24
#
# For a description of the GNUPLOT format see the GNUPLOT manual.
#
# <x> <y> <velocity> <velocity> <pressure> 
0 0 0 0 1.69351e+08 
4224.81 0 9.56251e-14 0 1.69334e+08 

2.61384e-13 4472.65 0 -2.02431e-13 1.69333e+08 
4114.34 4431.96 9.31159e-14 -2.00579e-13 1.69318e+08 


4224.81 0 9.56251e-14 0 1.69334e+08 
8449.06 0 1.91192e-13 0 1.69288e+08 

4114.34 4431.96 9.31159e-14 -2.00579e-13 1.69318e+08 
8408.54 4529.23 1.90251e-13 -2.04946e-13 1.69271e+08 


2.61384e-13 4472.65 0 -2.02431e-13 1.69333e+08 
4114.34 4431.96 9.31159e-14 -2.00579e-13 1.69318e+08 

5.22767e-13 8945.07 0 -4.04797e-13 1.69282e+08 
4087.82 8806.97 9.24778e-14 -3.98525e-13 1.69269e+08 


4114.34 4431.96 9.31159e-14 -2.00579e-13 1.69318e+08 
8408.54 4529.23 1.90251e-13 -2.04946e-13 1.69271e+08 

4087.82 8806.97 9.24778e-14 -3.98525e-13 1.69269e+08 
8228.17 8864.21 1.861e-13 -4.01046e-13 1.69223e+08 


8449.06 0 1.91192e-13 0 1.69288e+08 
12673.3 0 2.86735e-13 0 1.6921e+08 

8408.54 4529.23 1.90251e-13 -2.04946e-13 1.69271e+08 
12756.2 4581.05 2.88568e-13 -2.07226e-13 1.6919e+08 


12673.3 0 2.86735e-13 0 1.6921e+08 
16897.6 0 3.82227e-13 0 1.69101e+08 

12756.2 4581.05 2.88568e-13 -2.07226e-13 1.6919e+08 
17032.9 4587.94 3.85231e-13 -2.07448e-13 1.69079e+08 


8408.54 4529.23 1.90251e-13 -2.04946e-13 1.69271e+08 
12756.2 4581.05 2.88568e-13 -2.07226e-13 1.6919e+08 

8228.17 8864.21 1.861e-13 -4.01046e-13 1.69223e+08 
12514.1 8988.09 2.82983e-13 -4.06531e-13 1.69144e+08 


12756.2 4581.05 2.88568e-13 -2.07226e-13 1.6919e+08 
17032.9 4587.94 3.85231e-13 -2.07448e-13 1.69079e+08 

12514.1 8988.09 2.82983e-13 -4.06531e-13 1.69144e+08 
16816.7 9059.15 3.80191e-13 -4.09571e-13 1.69033e+08 


5.22767e-13 8945.07 0 -4.04797e-13 1.69282e+08 
4087.82 8806.97 9.24778e-14 -3.98525e-13 1.69269e+08 

7.8415e-13 13417.3 0 -6.0705e-13 1.69197e+08 
4120.2 13314.4 9.3147e-14 -6.02362e-13 1.69183e+08 


4087.82 8806.97 9.24778e-14 -3.98525e-13 1.69269e+08 
8228.17 8864.21 1.861e-13 -4.01046e-13 1.69223e+08 

4120.2 13314.4 9.3147e-14 -6.02362e-13 1.69183e+08 
8207 13261.4 1.85499e-13 -5.99863e-13 1.6914e+08 


7.8415e-13 13417.3 0 -6.0705e-13 1.69197e+08 
4120.2 13314.4 9.3147e-14 -6.02362e-13 1.69183e+08 

1.04554e-12 17889.5 0 -8.09132e-13 1.69077e+08 
4133.91 17810.6 9.33682e-14 -8.05524e-13 1.69063e+08 


4120.2 13314.4 9.3147e-14 -6.02362e-13 1.69183e+08 
8207 13261.4 1.85499e-13 -5.99863e-13 1.6914e+08 

4133.91 17810.6 9.33682e-14 -8.05524e-13 1.69063e+08 
8175.64 17613.5 1.84623e-13 -7.96485e-13 1.69026e+08 


8228.17 8864.21 1.861e-13 -4.01046e-13 1.69223e+08 
12514.1 8988.09 2.82983e-13 -4.06531e-13 1.69144e+08 

8207 13261.4 1.85499e-13 -5.99863e-13 1.6914e+08 
12342.2 13296.3 2.78919e-13 -6.01269e-13 1.69065e+08 


12514.1 8988.09 2.82983e-13 -4.06531e-13 1.69144e+08 
16816.7 9059.15 3.80191e-13 -4.09571e-13 1.69033e+08 

12342.2 13296.3 2.78919e-13 -6.01269e-13 1.69065e+08 
16588.3 13403.7 3.74789e-13 -6.0587e-13 1.68956e+08 


8207 13261.4 1.85499e-13 -5.99863e-13 1.6914e+08 
12342.2 13296.3 2.78919e-13 -6.01269e-13 1.69065e+08 

8175.64 17613.5 1.84623e-13 -7.96485e-13 1.69026e+08 
12280 17638 2.77264e-13 -7.97367e-13 1.68952e+08 


