# This file was generated by the deal.II library.
# Date =  2016/6/12
# Time =  11:52:53
#
# For a description of the GNUPLOT format see the GNUPLOT manual.
#
# <x> <y> <velocity> <velocity> <pressure> 
4146.79 4208.4 -3.0397e-16 7.17148e-16 1.57261e+08 
0 4208.39 0 7.17138e-16 1.57275e+08 

4146.79 0 -3.0401e-16 0 1.57276e+08 
0 0 0 0 1.5729e+08 


4146.81 8416.77 -3.03851e-16 1.43413e-15 1.57213e+08 
0 8416.76 0 1.43411e-15 1.57227e+08 

4146.79 4208.4 -3.0397e-16 7.17148e-16 1.57261e+08 
0 4208.39 0 7.17138e-16 1.57275e+08 


4146.84 12625.1 -3.03648e-16 2.15077e-15 1.57135e+08 
0 12625.1 0 2.15074e-15 1.57149e+08 

4146.81 8416.77 -3.03851e-16 1.43413e-15 1.57213e+08 
0 8416.76 0 1.43411e-15 1.57227e+08 


4146.88 16833.4 -3.03366e-16 2.86691e-15 1.57024e+08 
0 16833.3 0 2.86686e-15 1.57038e+08 

4146.84 12625.1 -3.03648e-16 2.15077e-15 1.57135e+08 
0 12625.1 0 2.15074e-15 1.57149e+08 


4146.93 21041.5 -3.02999e-16 3.58236e-15 1.56882e+08 
0 21041.5 0 3.58231e-15 1.56896e+08 

4146.88 16833.4 -3.03366e-16 2.86691e-15 1.57024e+08 
0 16833.3 0 2.86686e-15 1.57038e+08 


4146.99 25249.6 -3.02548e-16 4.29697e-15 1.56709e+08 
0 25249.5 0 4.2969e-15 1.56723e+08 

4146.93 21041.5 -3.02999e-16 3.58236e-15 1.56882e+08 
0 21041.5 0 3.58231e-15 1.56896e+08 


4147.07 29457.5 -3.0201e-16 5.01053e-15 1.56504e+08 
0 29457.4 0 5.01046e-15 1.56518e+08 

4146.99 25249.6 -3.02548e-16 4.29697e-15 1.56709e+08 
0 25249.5 0 4.2969e-15 1.56723e+08 


4147.16 33665.2 -3.01383e-16 5.72289e-15 1.56268e+08 
0 33665.2 0 5.72279e-15 1.56282e+08 

4147.07 29457.5 -3.0201e-16 5.01053e-15 1.56504e+08 
0 29457.4 0 5.01046e-15 1.56518e+08 


4147.26 37872.7 -3.00664e-16 6.43383e-15 1.56e+08 
0 37872.7 0 6.43373e-15 1.56014e+08 

4147.16 33665.2 -3.01383e-16 5.72289e-15 1.56268e+08 
0 33665.2 0 5.72279e-15 1.56282e+08 


4147.37 42080.1 -2.9985e-16 7.14318e-15 1.557e+08 
0 42080.1 0 7.14305e-15 1.55714e+08 

4147.26 37872.7 -3.00664e-16 6.43383e-15 1.56e+08 
0 37872.7 0 6.43373e-15 1.56014e+08 


4147.49 46287.2 -2.98937e-16 7.85072e-15 1.55369e+08 
0 46287.1 0 7.85058e-15 1.55383e+08 

4147.37 42080.1 -2.9985e-16 7.14318e-15 1.557e+08 
0 42080.1 0 7.14305e-15 1.55714e+08 


4147.63 50494 -2.97924e-16 8.55625e-15 1.55007e+08 
0 50494 0 8.55609e-15 1.55021e+08 

4147.49 46287.2 -2.98937e-16 7.85072e-15 1.55369e+08 
0 46287.1 0 7.85058e-15 1.55383e+08 


4147.77 54700.6 -2.96801e-16 9.25956e-15 1.54613e+08 
0 54700.5 0 9.25938e-15 1.54627e+08 

4147.63 50494 -2.97924e-16 8.55625e-15 1.55007e+08 
0 50494 0 8.55609e-15 1.55021e+08 


4147.93 58906.8 -2.95572e-16 9.96042e-15 1.54187e+08 
0 58906.8 0 9.96022e-15 1.54201e+08 

4147.77 54700.6 -2.96801e-16 9.25956e-15 1.54613e+08 
0 54700.5 0 9.25938e-15 1.54627e+08 


4148.1 63112.7 -2.94225e-16 1.06586e-14 1.5373e+08 
0 63112.7 0 1.06584e-14 1.53744e+08 

