# This file was generated by the deal.II library.
# Date =  2016/6/12
# Time =  11:48:04
#
# For a description of the GNUPLOT format see the GNUPLOT manual.
#
# <x> <y> <velocity> <velocity> <pressure> 
4166.59 4166.82 -4.40586e-15 8.91395e-15 1.56928e+08 
0 4166.82 0 8.91339e-15 1.56942e+08 

4166.59 0 -4.4073e-15 0 1.56944e+08 
0 0 0 0 1.56958e+08 


4166.59 8333.64 -4.40154e-15 1.78221e-14 1.56881e+08 
0 8333.64 0 1.7821e-14 1.56895e+08 

4166.59 4166.82 -4.40586e-15 8.91395e-15 1.56928e+08 
0 4166.82 0 8.91339e-15 1.56942e+08 


4166.59 12500.5 -4.39433e-15 2.67188e-14 1.56804e+08 
0 12500.5 0 2.67171e-14 1.56818e+08 

4166.59 8333.64 -4.40154e-15 1.78221e-14 1.56881e+08 
0 8333.64 0 1.7821e-14 1.56895e+08 


4166.59 16667.3 -4.38425e-15 3.55982e-14 1.56695e+08 
0 16667.3 0 3.55959e-14 1.56709e+08 

4166.59 12500.5 -4.39433e-15 2.67188e-14 1.56804e+08 
0 12500.5 0 2.67171e-14 1.56818e+08 


4166.59 20834.1 -4.3713e-15 4.44545e-14 1.56554e+08 
0 20834.1 0 4.44517e-14 1.56568e+08 

4166.59 16667.3 -4.38425e-15 3.55982e-14 1.56695e+08 
0 16667.3 0 3.55959e-14 1.56709e+08 


4166.59 25000.9 -4.35547e-15 5.32821e-14 1.56383e+08 
0 25000.9 0 5.32787e-14 1.56397e+08 

4166.59 20834.1 -4.3713e-15 4.44545e-14 1.56554e+08 
0 20834.1 0 4.44517e-14 1.56568e+08 


4166.59 29167.8 -4.33678e-15 6.20751e-14 1.56181e+08 
0 29167.8 0 6.20712e-14 1.56195e+08 

4166.59 25000.9 -4.35547e-15 5.32821e-14 1.56383e+08 
0 25000.9 0 5.32787e-14 1.56397e+08 


4166.59 33334.6 -4.31523e-15 7.08279e-14 1.55947e+08 
0 33334.6 0 7.08234e-14 1.55961e+08 

4166.59 29167.8 -4.33678e-15 6.20751e-14 1.56181e+08 
0 29167.8 0 6.20712e-14 1.56195e+08 


4166.59 37501.4 -4.29082e-15 7.95347e-14 1.55683e+08 
0 37501.4 0 7.95297e-14 1.55697e+08 

4166.59 33334.6 -4.31523e-15 7.08279e-14 1.55947e+08 
0 33334.6 0 7.08234e-14 1.55961e+08 


4166.59 41668.2 -4.26358e-15 8.81899e-14 1.55387e+08 
0 41668.2 0 8.81843e-14 1.55401e+08 

4166.59 37501.4 -4.29082e-15 7.95347e-14 1.55683e+08 
